"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Consent","Consent2","Q01[SQ001]","Q02","Q02[other]","G02Q40","G02Q41","Q03","Q04","Q05","Q06","Q07","Q07[other]","Q08","Q09","Q09[other]","Q010p","Q010p[other]","Q010[SQ001]","Q010[SQ002]","Q010[SQ003]","Q010[other]","Q011[SQ002]","Q011[SQ003]","Q011[SQ004]","Q011[SQ005]","Q011[SQ006]","Q010np","Q011np[SQ001]","Q012np","Q013p[SQ001]","Q014[SQ001]","Q014[SQ002]","Q015[SQ002]","Q015[SQ003]","Q015[SQ004]","Q015[SQ005]","Q015[SQ006]","Q015[SQ007]","Q015[SQ008]","Q015[SQ009]","Q015[SQ010]","OSQ01[SQ001]","OSQ03[SQ001]","OSQ02","OSQ04[SQ001]","OSQ04[SQ002]","OSQ04[SQ003]","OSQ04[SQ004]","OSQ04[SQ005]","OSQ04[SQ006]","OSQ04[SQ007]","OSQ04[SQ008]","OSQ05[SQ001]","OSQ05[SQ002]","OSQ05[SQ003]","OSQ05[SQ004]","OSQ05[SQ005]","OSQ05[SQ006]","OSQ05[SQ007]","OSQ05[SQ008]","OSQ05[SQ009]","OSQ05[SQ010]","OSQ05[SQ011]","OSQ05[SQ012]","OSQ05[SQ013]","OSQ05[SQ014]","OSQ05[other]","SSQ01[SQ001]","SSQ03[SQ001]","SSQ02","SSQ04[SQ002]","SSQ04[SQ003]","SSQ04[SQ004]","SSQ04[SQ005]","SSQ04[SQ006]","SSQ04[SQ007]","SSQ04[other]","SSQ05[SQ001_SQ002]","SSQ05[SQ001_SQ003]","SSQ05[SQ001_SQ004]","SSQ05[SQ002_SQ002]","SSQ05[SQ002_SQ003]","SSQ05[SQ002_SQ004]","SSQ05[SQ003_SQ002]","SSQ05[SQ003_SQ003]","SSQ05[SQ003_SQ004]","SSQ05[SQ004_SQ002]","SSQ05[SQ004_SQ003]","SSQ05[SQ004_SQ004]","SSQ05[SQ005_SQ002]","SSQ05[SQ005_SQ003]","SSQ05[SQ005_SQ004]","SSQ05[SQ006_SQ002]","SSQ05[SQ006_SQ003]","SSQ05[SQ006_SQ004]","SSQ05[SQ007_SQ002]","SSQ05[SQ007_SQ003]","SSQ05[SQ007_SQ004]","SSQ05[SQ008_SQ002]","SSQ05[SQ008_SQ003]","SSQ05[SQ008_SQ004]","GSQ01[SQ001]","GSQ02[SQ001]","GSQ03[SQ001]","GSQ04[SQ001]","GSQ05[SQ001]","GSQ06[SQ001]","ESQ01[SQ001]","ESQ02[SQ001]","WBQ01[SQ001]","WBQ01[SQ003]","WBQ01[SQ004]","WBQ01[SQ005]","WBQ01[SQ006]","interviewtime","groupTime831","ConsentTime","Consent2Time","groupTime825","Q01Time","Q02Time","G02Q40Time","G02Q41Time","Q03Time","Q04Time","Q05Time","Q06Time","Q07Time","Q08Time","Q09Time","Q010pTime","Q010Time","Q011Time","Q010npTime","Q011npTime","Q012npTime","Q013pTime","Q014Time","Q015Time","groupTime826","OSQ01Time","OSQ03Time","OSQ02Time","OSQ04Time","OSQ05Time","groupTime827","SSQ01Time","SSQ03Time","SSQ02Time","SSQ04Time","SSQ05Time","groupTime828","GSQ01Time","GSQ02Time","GSQ03Time","GSQ04Time","GSQ05Time","GSQ06Time","groupTime829","ESQ01Time","ESQ02Time","groupTime830","WBQ01Time"
"16","2025-03-03 14:04:19","7","en","1928459942","2025-03-03 12:57:18","2025-03-03 14:04:19","Yes, I am involved in research","Yes, I agree to participate in the study","37","Female","","I have no children",,"France","","Social Sciences & Humanities","SH4 The Human Mind and Its Complexity","PhD","","2019","Postdoc (fixed term)","",,,"No","No","Yes","","80","0","10","10","0","Yes","49","Yes",,"46","43","No","Yes","Yes","No","No","Yes","No","No","No","71","84","Yes","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","No","No","No","No","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","","63","65","No","Yes","Yes","No","No","No","Yes","","","1","","1","1","","","1","","1","1","","1","1","","","1","","","1","","1","","","68","66","63","67","66","72","58","68","66","45","46","58","70","4024.65","37.27",,,"203.79",,,,,,,,,,,,,,,,,,,,,"202.83",,,,,,"3534.26",,,,,,"21.57",,,,,,,"8.54",,,"16.39",
"22","2025-03-03 15:07:07","7","en","1878539476","2025-03-03 14:42:01","2025-03-03 15:07:07","Yes, I am involved in research","Yes, I agree to participate in the study","24","Male","","I have no children",,"France","Université de Montpellier","Social Sciences & Humanities","Behavioral Psychology","Master","","2024","PhD candidate (scholarship, other funding)","",,,"No","No","Yes","","60","20","15","2.5","2.5","Yes","20","No",,,,"No","No","Yes","Yes","No","Yes","No","No","No","60","95","Yes","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","No","No","Yes","Yes","No","No","Yes","No","Yes","No","Yes","No","No","No","","30","30","No","Yes","No","No","Yes","Yes","No","","","1","","1","1","","1","1","","1","1","","1","1","","1","1","","1","1","","","1","1","30","45","50","75","60","70","70","95","100","80","50","70","70","1508.79","51.91",,,"358.13",,,,,,,,,,,,,,,,,,,,,"108.91",,,,,,"151.54",,,,,,"718.85",,,,,,,"84.01",,,"35.44",
"23","2025-03-03 14:56:25","7","en","260141692","2025-03-03 14:48:34","2025-03-03 14:56:25","Yes, I am involved in research","Yes, I agree to participate in the study","25","Female","","I have no children",,"France","Université de Montpellier","Social Sciences & Humanities","Psychology","Master","","2022","PhD candidate (scholarship, other funding)","",,,"No","No","Yes","","85","15","0","0","0","Yes","30","Yes",,"70","30","No","No","Yes","Yes","No","Yes","No","No","No","80","95","No","I am not familiar with it","I am not familiar with it","I am not familiar with it","I am not familiar with it","I am not familiar with it","I am not familiar with it","I am not familiar with it","I am not familiar with it","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","","0","0","No","No","Yes","No","No","No","No","","","","1","","","1","","1","","","1","","","1","","","","1","","","1","","","1","90","90","0","100","10","100","50","50","69","82","82","74","100","473.6","22.35",,,"121.19",,,,,,,,,,,,,,,,,,,,,"72.68",,,,,,"121.1",,,,,,"77.36",,,,,,,"29.23",,,"29.69",
"24","2025-03-04 07:40:48","7","en","836442839","2025-03-04 07:28:08","2025-03-04 07:40:48","Yes, I am involved in research","Yes, I agree to participate in the study","29","Male","","I have no children",,"France","","Social Sciences & Humanities","Psychology","PhD","","2018","Other","corporate research and impact manager",,,"No","Yes","No","","70","5","10","10","5",,,"Yes",,"59","60","No","Yes","No","No","No","Yes","Yes","No","No","85","85","No","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I know it and I used it","No","Yes","No","Yes","No","No","Yes","Yes","Yes","No","No","No","No","No","","85","85","No","Yes","No","Yes","No","No","Yes","","","1","","","1","","1","","","1","","","1","1","","1","","","1","1","","1","","","84","85","85","90","80","90","70","80","75","81","81","86","55","763.89","158.45",,,"288.42",,,,,,,,,,,,,,,,,,,,,"107.6",,,,,,"93.81",,,,,,"53.83",,,,,,,"24.29",,,"37.49",
"25","2025-03-04 15:39:06","7","en","1772361809","2025-03-04 15:16:28","2025-03-04 15:39:06","Yes, I am involved in research","Yes, I agree to participate in the study","24","Male","","I have no children",,"France","Université de Montpellier","Life Sciences","Neurosciences","Master","","2023","PhD candidate (scholarship, other funding)","",,,"No","No","Yes","","85","0","0","5","10","Yes","51","No",,,,"No","No","Yes","Yes","No","Yes","No","No","No","60","100","No","I haven't used it yet, and I don't plan to do it in the future","I haven't used it yet, and I don't plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, and I don't plan to do it in the future","Yes","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","","60","90","No","Yes","No","No","Yes","Yes","No","","1","1","","1","1","","1","1","","1","1","","1","1","","1","1","","1","1","","1","1","","65","80","50","50","100","100","100","50","100","100","80","80","50","1360.01","73.1",,,"564.58",,,,,,,,,,,,,,,,,,,,,"203.8",,,,,,"338.3",,,,,,"104.43",,,,,,,"30.76",,,"45.04",
"58","2025-03-17 22:35:51","7","en","58142743","2025-03-17 22:23:07","2025-03-17 22:35:51","Yes, I am involved in research","Yes, I agree to participate in the study","31","Male","","1","Between 2 weeks and 1 month","UK","University of Sussex","Life Sciences","Cognitive Neuroscience ","PhD","","2019","Postdoc (fixed term)","",,,"No","Yes","No","","87","3","5","0","5","Yes","66","Yes",,"52","83","Yes","No","Yes","Yes","No","No","No","No","No","77","82","Yes","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I know it and I used it","I haven't used it yet, and I don't plan to do it in the future","I know it and I used it","I know it and I used it","I haven't used it yet, but I plan to do it in the future","No","No","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","","9","0","No","Yes","No","No","Yes","Yes","No","","","","1","1","","","1","","","1","","","","1","","","1","","","","1","","","1","55","30","7","25","69","54","64","87","85","69","12","44","93","767.04","56.09",,,"324.14",,,,,,,,,,,,,,,,,,,,,"161.42",,,,,,"131.07",,,,,,"44.93",,,,,,,"20.98",,,"28.41",
"59","2025-03-18 07:45:13","7","en","62930476","2025-03-18 07:37:15","2025-03-18 07:45:13","Yes, I am involved in research","Yes, I agree to participate in the study","42","Female","","1","Between 6 months and 1 year","United Kingdom","University of Sussex","Social Sciences & Humanities","Psychology","PhD","","2019","Researcher/lecturer (fixed term)","",,,"No","No","Yes","","30","50","10","5","5",,,"Yes",,"50","50","No","No","Yes","Yes","No","Yes","No","No","No","90","85","Yes","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","No","No","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No","","65","80","No","Yes","Yes","Yes","No","No","No","","1","1","","1","1","","1","1","","1","1","","1","1","","1","1","","1","1","","1","1","","60","60","0","20","100","70","100","100","75","90","0","40","40","480.81","15.24",,,"167.15",,,,,,,,,,,,,,,,,,,,,"94.66",,,,,,"98.64",,,,,,"57.2",,,,,,,"12.36",,,"35.56",
"60","2025-03-18 08:54:08","7","en","797743790","2025-03-18 08:39:09","2025-03-18 08:54:08","Yes, I am involved in research","Yes, I agree to participate in the study","33","Female","","I have no children",,"UK","University of Sussex","Life Sciences","Ecology","PhD","","2015","Postdoc (fixed term)","",,,"No","No","Yes","","80","0","10","10","0","Yes","0","Yes",,"0","60","No","No","Yes","Yes","No","Yes","No","No","No","60","75","Yes","I haven't used it yet, and I don't plan to do it in the future","I haven't used it yet, and I don't plan to do it in the future","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I haven't used it yet, and I don't plan to do it in the future","I am not familiar with it","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","","60","100","No","Yes","Yes","No","No","Yes","No","","1","1","","","","1","1","1","","1","1","","1","1","","1","1","","1","1","","","","1","60","90","60","85","100","60","100","100","50","65","0","0","100","901.24","26.35",,,"223.41",,,,,,,,,,,,,,,,,,,,,"240.06",,,,,,"178.01",,,,,,"132.29",,,,,,,"44.22",,,"56.9",
"61","2025-03-18 09:16:12","7","en","303593883","2025-03-18 09:04:20","2025-03-18 09:16:12","Yes, I am involved in research","Yes, I agree to participate in the study","24","Female","","I have no children",,"UK - England ","University of Sussex","Social Sciences & Humanities","Social Psychology","Master","","2024","PhD candidate (scholarship, other funding)","",,,"No","No","Yes","","60","0","10","0","30","I don't know","50","No",,,,"No","Yes","No","Yes","No","Yes","No","No","No","95","80","Yes","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, and I don't plan to do it in the future","I haven't used it yet, and I don't plan to do it in the future","Yes","No","Yes","No","Yes","No","No","No","No","Yes","No","Yes","No","No","","20","0","No","Yes","No","Yes","No","No","Yes","","","1","","","","1","","1","","1","","","1","","","","1","","","","1","","1","","80","60","50","50","90","100","90","100","70","50","80","60","100","714.58","88.09",,,"221.52",,,,,,,,,,,,,,,,,,,,,"154.35",,,,,,"116.14",,,,,,"62.33",,,,,,,"24.27",,,"47.88",
"66","2025-03-18 09:19:56","7","en","1910807509","2025-03-18 09:11:50","2025-03-18 09:19:56","Yes, I am involved in research","Yes, I agree to participate in the study","31","Male","","I have no children",,"United Kingdom ","","Life Sciences","Psychology ","Master","","3","PhD candidate (no funding/self funded)","",,,"No","No","Yes","","70","30","0","0","0","Yes","65","No",,,,"No","No","Yes","No","No","Yes","Yes","No","No","90","100","Yes","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I haven't used it yet, but I plan to do it in the future","No","No","No","Yes","No","No","Yes","Yes","Yes","No","No","No","No","No","","20","60","No","Yes","No","Yes","No","No","Yes","","","1","","","","1","1","","","","1","","","1","","1","","","1","","","1","","","40","35","30","30","60","50","30","100","80","80","30","50","100","487.51","10.98",,,"196.55",,,,,,,,,,,,,,,,,,,,,"72.2",,,,,,"108.03",,,,,,"47.37",,,,,,,"23.15",,,"29.23",
